uuid,Members,Answers,"Fully specified name:en","Short name:en",Description:en,"Data class","Data type","Allow decimals",Units,"Normal high","Normal low",_version:1,_order:1040
997b0514-b600-41d0-abd9-d0386401c754,,,Mother,Mother,,Misc,N/A,,,,,,
c351c46f-f75c-4c9a-8ed9-7c06e0559356,,,Father,Father,,Misc,N/A,,,,,,
44b2b272-761c-4edf-a640-a53ec6a426bf,,,Guardian,Guardian,,Misc,N/A,,,,,,
b65681ed-56d4-4db9-a82d-b4c62bd56ebc,,,"Other - Specify in Comment or Note",,,Misc,N/A,,,,,,
155aef1a-1d1b-4d11-b5b8-3904d0a26273,,,"Person attending with Patient Other","Name of Other",,Misc,Text,,,,,,
0dbc4f2e-060c-4eab-9bc3-be19de4d14c8,,,"Name of Patient's Other Attending Person","Name of Other",,Misc,Text,,,,,,
12aacf6c-a6ec-4d5f-bb48-b1980059e2c8,,b1c872e5-224b-494e-ac33-978c07853f9b;f2355233-c552-4cd6-802f-0c7c75221f03,"Two in one (lip or palate)",,,Misc,Coded,,,,,,
9a73377f-6f2f-4e3c-aa98-1abf3388e172,,b1c872e5-224b-494e-ac33-978c07853f9b;f2355233-c552-4cd6-802f-0c7c75221f03,"Maxillary Osteotomy",,,Misc,Coded,,,,,,
37fe8e39-1caa-4353-bee8-f8d58bf690d8,,a2065636-5326-40f5-aed6-0cc2cca81ccc;b497171e-0410-4d8d-bbd4-7e1a8f8b504e,"Premaxillary set back",,,Misc,Coded,,,,,,
78c5e35a-0a1b-4af2-a7ae-27fa21a80d06,,a2065636-5326-40f5-aed6-0cc2cca81ccc;b497171e-0410-4d8d-bbd4-7e1a8f8b504e,"Columella lengthening",,,Misc,Coded,,,,,,
fc84773b-495b-4d8d-88dd-f7ce40a5cd7b,,a2065636-5326-40f5-aed6-0cc2cca81ccc;b497171e-0410-4d8d-bbd4-7e1a8f8b504e,"Scar revision",,,Misc,Coded,,,,,,
799f7586-d931-40ac-9cef-79a85288fddb,,a2065636-5326-40f5-aed6-0cc2cca81ccc;b497171e-0410-4d8d-bbd4-7e1a8f8b504e,"Hair graft",,,Misc,Coded,,,,,,
0530e550-ef7b-4838-8676-2b280692befd,,,"Other (spec",,,Test,Numeric,,,,,,
ca1fea88-1d97-4523-868d-c09ec1747b8d,,,Bilateral,,,Misc,N/A,,,,,,
cb316b21-490c-4dd5-bf51-f428848789e6,,,"Bilateral - Left",,,Misc,N/A,,,,,,
229b2a3e-450d-4dd7-8966-52f9ede25e09,,,"Bilateral - Right",,,Misc,N/A,,,,,,
2a31fb2c-121f-4746-acf1-54b29ffde751,,,"Buccal flap",,,Misc,N/A,,,,,,
57ca9da0-396b-49a6-b647-f46937ae4bb7,,,"Buccinators flap",,,Misc,N/A,,,,,,
1832d89d-611c-4a38-9df1-bddb13b87414,,,"Free flap",,,Misc,N/A,,,,,,
1c219667-99b2-4a9e-ac0a-d70cb077d1b7,,,"Furlows Z-plasty","Furlow's Z-plasty",,Misc,N/A,,,,,,
682933c2-4720-4b02-a7bf-eac06ef693cd,,,"Hynes phyrngoplasty",,,Misc,N/A,,,,,,
e04ceb86-5c04-4408-bd81-8fbfea003a2e,,,"Inferiorly based pharyngeal flap",,,Misc,N/A,,,,,,
a2db43b7-1c09-438e-8d9b-3a5d8867dcaf,,,"Local flap",,,Misc,N/A,,,,,,
3d1baa14-6af8-481a-9632-f2ca981c29e3,,,"Mandibular set back (Sagital Osteotomy)",,,Misc,N/A,,,,,,
3fc9934d-f017-45ba-95dc-a2a5a91ca2cb,,,"Mandibular set back (Vertical Osteotomy)",,,Misc,N/A,,,,,,
