uuid,"Fully specified name:en","Short name:en",Description:en,Void/Retire,"Data class","Data type","Complex data handler","Allow decimals",Units,"Normal high","Normal low",Members,Answers,_version:1,_order:1040
9d91cb77-3f10-11e4-adec-0800271c1b75,"All Observation Templates","All Observation templates",,,ConvSet,N/A,,,,,,,,,
5090AAAAAAAAAAAAAAAAAAAAAAAAAAAA,"HEIGHT (Metres)","HEIGHT (Metres)",,,Misc,Numeric,,TRUE,,,,,,,
5089AAAAAAAAAAAAAAAAAAAAAAAAAAAA,"WEIGHT (KG)","WEIGHT (KG)",,,Misc,Numeric,,TRUE,,,,,,,
c36bc411-3f10-11e4-adec-0800271c1b75,Pulse,Pulse,,,Misc,Numeric,,TRUE,,,,,,,
c36e9c8b-3f10-11e4-adec-0800271c1b75,Systolic,Systolic,,,Misc,Numeric,,TRUE,"mm Hg",,,,,,
c379aa1d-3f10-11e4-adec-0800271c1b75,Diastolic,Diastolic,,,Misc,Numeric,,TRUE,"mm Hg",,,,,,
c37bd733-3f10-11e4-adec-0800271c1b75,Temperature,Temperature,,,Misc,Numeric,,TRUE,,,,,,,
c37e0f37-3f10-11e4-adec-0800271c1b75,RR,RR,,,Misc,Numeric,,TRUE,,,,,,,
c3838414-3f10-11e4-adec-0800271c1b75,SP02,SP02,,,Misc,Numeric,,TRUE,,,,,,,
c45f6876-3f10-11e4-adec-0800271c1b75,Normal,,,,Misc,N/A,,,,,,,,,
79027967-3d19-49d3-950d-a3f316dd5513,Intact,,,,Misc,N/A,,,,,,,,,
54798d14-ae3b-4666-8667-a9be973f9996,Moderate,,,,Misc,N/A,,,,,,,,,
d57a9284-b79f-444f-8879-a56605aeb4e9,Pit,,,,Misc,N/A,,,,,,,,,
cf6a32ac-a578-4558-a72c-d0b9ba071ff4,"Not Examined",,,,Misc,N/A,,,,,,,,,
30e1c728-f008-4dd1-ab34-2c34a00fd3a5,"Reason For Death",,,TRUE,Misc,Numeric,,,,,,c1935955-b2a5-47c2-8e78-1c9a44aeed54;42ff2076-d570-4703-a826-53432386d529,,,
cc79d9d9-1a2b-4efc-a5ea-602ce00467a9,TestConcept,TestConcept,,,Misc,N/A,,,,,,,,,
997b0514-b600-41d0-abd9-d0386401c754,Mother,Mother,,,Misc,N/A,,,,,,,,,
c351c46f-f75c-4c9a-8ed9-7c06e0559356,Father,Father,,,Misc,N/A,,,,,,,,,
44b2b272-761c-4edf-a640-a53ec6a426bf,Guardian,Guardian,,,Misc,N/A,,,,,,,,,
b65681ed-56d4-4db9-a82d-b4c62bd56ebc,"Other - Specify in Comment",,,,Misc,N/A,,,,,,,,,
155aef1a-1d1b-4d11-b5b8-3904d0a26273,"Person attending with Patient Other","Name of Other",,,Misc,Text,,,,,,,,,
0dbc4f2e-060c-4eab-9bc3-be19de4d14c8,"Name of Patient's Other Attending Person","Name of Other",,,Misc,Text,,,,,,,,,
12aacf6c-a6ec-4d5f-bb48-b1980059e2c8,"Two in one (lip or palate)",,,,Misc,Coded,,,,,,,b1c872e5-224b-494e-ac33-978c07853f9b;f2355233-c552-4cd6-802f-0c7c75221f03,,
9a73377f-6f2f-4e3c-aa98-1abf3388e172,"Maxillary Osteotomy",,,,Misc,Coded,,,,,,,b1c872e5-224b-494e-ac33-978c07853f9b;f2355233-c552-4cd6-802f-0c7c75221f03,,
37fe8e39-1caa-4353-bee8-f8d58bf690d8,"Premaxillary set back",,,,Misc,Coded,,,,,,,a2065636-5326-40f5-aed6-0cc2cca81ccc;b497171e-0410-4d8d-bbd4-7e1a8f8b504e,,
78c5e35a-0a1b-4af2-a7ae-27fa21a80d06,"Columella lengthening",,,,Misc,Coded,,,,,,,a2065636-5326-40f5-aed6-0cc2cca81ccc;b497171e-0410-4d8d-bbd4-7e1a8f8b504e,,
fc84773b-495b-4d8d-88dd-f7ce40a5cd7b,"Scar revision",,,,Misc,Coded,,,,,,,a2065636-5326-40f5-aed6-0cc2cca81ccc;b497171e-0410-4d8d-bbd4-7e1a8f8b504e,,
799f7586-d931-40ac-9cef-79a85288fddb,"Hair graft",,,,Misc,Coded,,,,,,,a2065636-5326-40f5-aed6-0cc2cca81ccc;b497171e-0410-4d8d-bbd4-7e1a8f8b504e,,
0530e550-ef7b-4838-8676-2b280692befd,"Other (spec",,,,Test,Numeric,,,,,,,,,
ca1fea88-1d97-4523-868d-c09ec1747b8d,Bilateral,,,,Misc,N/A,,,,,,,,,
cb316b21-490c-4dd5-bf51-f428848789e6,"Bilateral - Left",,,,Misc,N/A,,,,,,,,,
229b2a3e-450d-4dd7-8966-52f9ede25e09,"Bilateral - Right",,,,Misc,N/A,,,,,,,,,
2a31fb2c-121f-4746-acf1-54b29ffde751,"Buccal Flap",,,,Misc,N/A,,,,,,,,,
57ca9da0-396b-49a6-b647-f46937ae4bb7,"Buccinators flap",,,,Misc,N/A,,,,,,,,,
1832d89d-611c-4a38-9df1-bddb13b87414,"Free flap",,,,Misc,N/A,,,,,,,,,
1c219667-99b2-4a9e-ac0a-d70cb077d1b7,"Furlows Z-plasty","Furlow's Z-plasty",,,Misc,N/A,,,,,,,,,
682933c2-4720-4b02-a7bf-eac06ef693cd,"Hynes phyrngoplasty",,,,Misc,N/A,,,,,,,,,
e04ceb86-5c04-4408-bd81-8fbfea003a2e,"Inferiorly based pharyngeal flap",,,,Misc,N/A,,,,,,,,,
a2db43b7-1c09-438e-8d9b-3a5d8867dcaf,"Local flap",,,,Misc,N/A,,,,,,,,,
3d1baa14-6af8-481a-9632-f2ca981c29e3,"Mandibular set back (Sagital Osteotomy)",,,,Misc,N/A,,,,,,,,,
3fc9934d-f017-45ba-95dc-a2a5a91ca2cb,"Mandibular set back (Vertical Osteotomy)",,,,Misc,N/A,,,,,,,,,
a7580f46-40c9-4c83-a623-b5866e5657f7,"Nasal layer repair by Vomes flap",,,,Misc,N/A,,,,,,,,,
cc28a371-0c3d-463f-aecc-f2e4803e8934,Re-repair,,,,Misc,N/A,,,,,,,,,
a2ff9414-6ea5-4512-b65c-45514f8cfa18,"Rotation - advancement variant",,,,Misc,N/A,,,,,,,,,
55e3699e-8944-4310-8f1a-d0f5b9eef6e2,"Segmental Osteotomy",,,,Misc,N/A,,,,,,,,,
5962cfeb-cb54-43c2-8829-9caa4bba8ca7,"Soft Palate repair",,,,Misc,N/A,,,,,,,,,
929edf92-e360-49ed-8952-7f64b48a3622,"Sphincter Pharyngoplasty",,,,Misc,N/A,,,,,,,,,
41fda1db-8df8-4972-b79e-9ac515554426,"Superiorly based pharyngeal flap",,,,Misc,N/A,,,,,,,,,
589c9e5a-1d7c-4cf2-9416-cef59648df39,"Temporalis flap",,,,Misc,N/A,,,,,,,,,
7cf11f01-86fb-4f1d-a416-43fe31cbc52d,"Tongue Flap",,,,Misc,N/A,,,,,,,,,
41fda303-4ca7-4a36-adb1-55c308e81563,"Triangular Variant",,,,Misc,N/A,,,,,,,,,
da2fee98-3452-4d08-8625-3c3fbd8fff48,"Two flaps technique",,,,Misc,N/A,,,,,,,,,
685c07f1-05b6-47d8-997d-18e9bbd1a1fd,"Unilateral - right",,,,Misc,N/A,,,,,,,,,
dad58e38-2fdc-49f5-b474-2c60a0f55e9e,"Unilateral - left",,,,Misc,N/A,,,,,,,,,
60762fde-0a4d-42d5-a65e-6596aa83972a,"Intravelar Veloplasty",,,,Misc,N/A,,,,,,,,,
ec88344a-dd76-437c-bf11-453629b224d9,"Lagenback technique",,,,Misc,N/A,,,,,,,,,
07356ab8-b091-49d4-842e-1ae57e499052,"Left Osteotomy",,,,Misc,N/A,,,,,,,,,
c76a148b-2de1-45e9-8dba-f08ae70d1a76,"Lefort Osteotomy",,,,Misc,N/A,,,,,,,,,
371d1266-83fb-4cd0-ae59-4adc4042572f,"Prior Cleft Surgery: Date","Date (YYYY-MM-DD)",,,Misc,Date,,,,,,,,,
8f888e7d-0341-4966-8bfe-98f3cf99b3c7,"Prior Cleft Surgery: Location",Location,,,Misc,Text,,,,,,,,,
01a01948-e599-4645-8d61-4719cd2ef82d,"Prior Cleft Surgery: Diagnosis if known","Diagnosis if known",,,Misc,Text,,,,,,,,,
91925e03-0e11-46ab-8de3-904b72a7956a,"Yes, No, Unknown",,,,Misc,Coded,,,,,,,a2065636-5326-40f5-aed6-0cc2cca81ccc,,
6514614e-29e9-4fe3-b1ae-e6bde7514bf0,"Yes (Describe in Note)",,,,Misc,N/A,,,,,,,,,
646e32bf-20c9-4d86-89e5-effcacacb555,"No. old ONE",No,,,Misc,N/A,,,,,,,,,
938b8fe6-e4d6-4545-9a78-56eae22ffae0,Not,,,,Misc,N/A,,,,,,,,,
302462e0-cfc6-461a-bcdf-cb5dac3fc953,"Unknown with comment",,,,Test,Numeric,,,,,,,,,
965c0ad7-f74d-406e-a812-01ea44f074a6,"Other craniofacial deformities",,,,Misc,Coded,,,,,,,a2065636-5326-40f5-aed6-0cc2cca81ccc;b497171e-0410-4d8d-bbd4-7e1a8f8b504e;3b75cc72-924b-4d36-8891-95484287495e,,
82502f72-bb72-4e2d-9e93-9571e991829d,"Discuss in Cleft Team meeting",,,,Misc,Coded,,,,,,,a2065636-5326-40f5-aed6-0cc2cca81ccc;b497171e-0410-4d8d-bbd4-7e1a8f8b504e,,
8162f875-7e40-4fef-9526-fa9726579871,"Summary of Present Evaluation",Summary,,,Misc,Text,,,,,,,,,
38a3f4ac-c6cc-4843-aea9-d5f575e0f39c,Mekonen,,,,Misc,N/A,,,,,,,,,
10d9b4ee-755f-42d4-b003-7ba5e71f9792,Bethelihem,,,,Misc,N/A,,,,,,,,,
a4590533-9246-49f0-8bf8-c4efced205a0,Meserat,,,,Misc,N/A,,,,,,,,,
2c45bab0-8b80-420f-9967-d26ef6dce2dc,Hanna,,,TRUE,Misc,N/A,,,,,,,,,
21c11acf-8a54-44cb-844c-b27f4b5afc4c,Doctor,,,,Misc,N/A,,,,,,,,,
2dcfdf72-b8d2-4ecb-a952-04e3241a0b3c,"Registration Clerk",,,,Misc,N/A,,,,,,,,,
a9390e6f-f0cd-4b10-b7f3-83e28eb522a5,Nurse,,,,Misc,N/A,,,,,,,,,
9cea7f5c-2c1b-4b38-87e0-e4a035dd93a6,"Cleft Description",,,,Misc,Coded,,,,,,,,,
d092fbe0-c8fb-4eba-80ca-b52eef8b0ff8,"Not Cleft",,,,Misc,N/A,,,,,,,,,
054a3db2-ec29-4633-9206-7f3f7ee38385,"Complete Cleft",,,,Misc,N/A,,,,,,,,,
89940b37-ea9f-4a43-8ce7-4dfda935c765,"Incomplete Cleft",,,,Misc,N/A,,,,,,,,,
27d629f2-8495-478c-bc00-f162672c2552,Submucous,,,,Misc,N/A,,,,,,,,,
597af7d8-6d6a-4e90-a9f3-c17822f2996e,"Cleft Description for Diagnosis","Cleft Description",,,ConvSet,N/A,,,,,,,,,
b60eb2ed-2b3a-4802-ba98-04d5c118c848,"Cleft Diagnosis Form 2","Cleft Diagnosis",,TRUE,Misc,N/A,,,,,,,,,
30f2fb25-be57-43b9-8510-22e31744a9ea,"Cleft Diagnosis Note",Note,,TRUE,Misc,Text,,,,,,,,,
a607f4b7-6170-40fd-b942-35a3c9bcb145,"Registered, awaiting Evaluation",,,,Misc,Date,,,,,,,,,
ef61e710-a5b6-41fc-9848-9d9825408f83,"1 year review complete",,,,Misc,N/A,,,,,,,,,
e964f596-9703-4a76-832f-4cc26b0353ec,"1st session",,,,Misc,N/A,,,,,,,,,
9be91fbd-6c81-486a-b933-579f82221cbf,"2nd Session","Second Session",,,Misc,N/A,,,,,,,,,
e43d5a2b-fb71-4f68-b3a5-62d362182040,Discharged,,,,Misc,N/A,,,,,,,,,
dc7aa79f-6b05-48fb-842c-c7d20e4162e9,"Treatment plan determined",,,,Misc,N/A,,,,,,,,,
2b681359-2a5d-4160-8a46-609ac38c25b0,"Lost to Followup",,,,Misc,N/A,,,,,,,,,
8abe3205-9ca0-4031-b18a-fd75e40ef0db,"Transferred out of clinic",,,,Misc,N/A,,,,,,,,,
31d518f8-4d06-4ea7-82ef-51c3d9fc5e83,"Left Cleft program",,,,Misc,N/A,,,,,,,,,
36fed226-edbd-4ead-b5b7-ba2e26df5a39,Died,,,,Misc,N/A,,,,,,,,,
